course_id,chapter_order,difficulty_score,difficulty_level,difficulty_rank,dropout_rate,avg_time_spent,avg_score,completion_rate,student_count
7,3,66.72767881546261,Hard,1,0.6,20.125999999999998,53.260000000000005,0.4,5
1,4,61.663333492328576,Medium,2,0.25,53.533125,29.630000000000003,0.75,4
1,2,56.23816918600279,Medium,3,0.19999999999999996,60.290000000000006,37.606,0.8,5
5,2,56.11116095758709,Medium,4,0.25,50.075,39.265,0.75,4
5,11,48.21385905115976,Medium,5,0.0,74.26666666666667,31.76,1.0,3
1,6,48.14122456570854,Medium,6,0.0,67.19,27.316666666666666,1.0,3
2,4,47.903647900868755,Medium,7,0.1428571428571429,46.410714285714285,37.25142857142857,0.8571428571428571,7
2,5,45.154530087498266,Medium,8,0.16666666666666663,59.057500000000005,55.175000000000004,0.8333333333333334,6
5,9,44.97034507619787,Medium,9,0.0,68.54,34.98,1.0,3
5,7,44.93436114595755,Medium,10,0.0,75.5975,39.64333333333333,1.0,3
5,13,44.4787394216292,Medium,11,0.0,87.33083333333333,48.24333333333333,1.0,3
5,12,44.26948214432531,Medium,12,0.0,83.13833333333334,45.96666666666667,1.0,3
5,6,42.730143627842956,Medium,13,0.0,46.92333333333334,25.72666666666667,1.0,3
5,1,41.840868540000834,Medium,14,0.0,68.263125,41.4975,1.0,4
9,4,41.03769091482617,Medium,15,0.5,8.01,84.315,0.5,2
1,8,41.03451662800515,Medium,16,0.0,42.42666666666667,26.433333333333334,1.0,3
1,5,40.42617473261221,Medium,17,0.0,55.59083333333333,36.29,1.0,3
1,10,39.975048725109644,Medium,18,0.0,55.320833333333326,37.080000000000005,1.0,3
5,8,39.75745275000975,Medium,19,0.0,46.17666666666667,31.603333333333335,1.0,3
1,3,39.28578376131831,Medium,20,0.0,54.8975,38.28,1.0,4
1,1,38.741134136586666,Medium,21,0.0,46.410000000000004,33.93,1.0,5
2,9,38.36092036006827,Medium,22,0.0,65.541,47.176,1.0,5
9,1,38.232504278954934,Medium,23,0.33333333333333337,23.823333333333334,73.84333333333333,0.6666666666666666,3
1,9,37.76656253226918,Medium,24,0.0,65.8775,48.666666666666664,1.0,3
5,14,36.83873666266134,Medium,25,0.0,70.24416666666666,53.49,1.0,3
5,5,35.92537144542371,Medium,26,0.0,48.949999999999996,41.60666666666666,1.0,3
2,6,34.426960972659344,Medium,27,0.0,41.105999999999995,39.715999999999994,1.0,5
10,3,34.00476346301887,Medium,28,0.0,62.25,54.36,1.0,1
1,11,33.96047394972274,Medium,29,0.0,40.663333333333334,40.42666666666667,1.0,3
2,13,33.33507249892338,Medium,30,0.0,36.156,38.836,1.0,5
5,10,32.91104367557185,Easy,31,0.0,44.449999999999996,45.13333333333333,1.0,3
2,12,32.49670211739695,Easy,32,0.0,42.908,45.018,1.0,5
2,7,32.262323068039066,Easy,33,0.0,34.162,39.836,1.0,5
2,8,32.21896398461405,Easy,34,0.0,40.83,44.262,1.0,5
2,3,32.188148586824035,Easy,35,0.125,20.20375,50.9875,0.875,8
2,2,31.95741921853042,Easy,36,0.0,43.770312499999996,46.7325,1.0,8
2,1,31.923485987154933,Easy,37,0.0,30.21125,37.99375,1.0,8
1,7,31.54064519160149,Easy,38,0.0,37.54666666666667,43.580000000000005,1.0,3
5,15,31.05433089835531,Easy,39,0.0,29.26666666666667,39.24,1.0,3
2,10,30.48672582094532,Easy,40,0.0,52.794000000000004,55.74400000000001,1.0,5
10,5,29.855913012229824,Easy,41,0.0,28.69,41.43,1.0,1
4,3,29.832416610314382,Easy,42,0.1428571428571429,29.004285714285714,64.61428571428571,0.8571428571428571,7
5,3,28.92935854054508,Easy,43,0.0,48.35666666666666,56.19333333333333,1.0,3
8,5,28.13378713248136,Easy,44,0.0,39.8725,52.3825,1.0,4
2,15,27.981957652811385,Easy,45,0.0,25.15,43.14,1.0,5
5,4,27.8128817981023,Easy,46,0.0,27.439999999999998,44.99,1.0,3
6,3,26.08422657364943,Easy,47,0.19999999999999996,17.242,74.164,0.8,5
2,11,26.01383943476858,Easy,48,0.0,31.136000000000003,51.242,1.0,5
9,6,25.292275570991517,Easy,49,0.0,53.47,67.3,1.0,1
10,2,24.748016646592557,Easy,50,0.0,48.6,65.3,1.0,1
10,1,24.16585308184409,Easy,51,0.0,31.11,55.18,1.0,1
8,6,23.635353667004388,Easy,52,0.0,20.7225,49.565,1.0,4
8,2,23.552705676146616,Easy,53,0.0,31.6375,56.835,1.0,4
8,3,21.906325768114556,Easy,54,0.0,21.1375,53.535,1.0,4
8,4,20.580052617643176,Easy,55,0.0,27.83,60.7225,1.0,4
2,14,20.41481098714046,Easy,56,0.0,26.054000000000002,59.922000000000004,1.0,5
3,5,19.88729804950207,Easy,57,0.0,28.416562499999998,62.58625,1.0,8
3,4,19.795382018511205,Easy,58,0.0,23.1165625,59.338750000000005,1.0,8
9,9,19.231354450463982,Easy,59,0.0,13.49,54.29,1.0,1
4,4,19.1952503370755,Easy,60,0.0,24.791666666666668,61.711666666666666,1.0,6
9,2,19.050542191085846,Easy,61,0.0,38.385000000000005,70.85499999999999,1.0,2
8,1,18.938450691300798,Easy,62,0.0,25.0475,62.4275,1.0,4
3,3,18.92877152311562,Easy,63,0.0,22.71125,60.93,1.0,8
6,2,18.826535130816186,Easy,64,0.0,37.378,70.67999999999999,1.0,5
10,6,18.34395191736151,Easy,65,0.0,14.43,56.8,1.0,1
4,1,18.001423066969068,Easy,66,0.0,17.64142857142857,59.620000000000005,1.0,7
7,7,17.553634337691115,Easy,67,0.0,18.575,61.185,1.0,2
3,7,17.338455691986542,Easy,68,0.0,21.55375,63.58125,1.0,8
4,2,17.335443106171166,Easy,69,0.0,26.294642857142858,66.66857142857143,1.0,7
3,6,17.27113152843105,Easy,70,0.0,28.0778125,67.965,1.0,8
3,8,17.16605712466258,Easy,71,0.0,24.58875,65.9225,1.0,8
6,5,16.95057745288457,Easy,72,0.0,19.305,62.95,1.0,4
3,9,16.679473351448713,Easy,73,0.0,19.34125,63.55375,1.0,8
3,2,16.65264328505166,Easy,74,0.0,25.6178125,67.69,1.0,8
7,5,16.553391147852782,Easy,75,0.0,7.71,56.265,1.0,2
4,7,16.458568577810492,Easy,76,0.0,21.231666666666666,65.255,1.0,6
4,5,15.606396252666949,Easy,77,0.0,20.628333333333334,66.68666666666667,1.0,6
6,6,15.50961940058535,Easy,78,0.0,27.262500000000003,71.205,1.0,4
10,8,15.355824110595295,Easy,79,0.0,13.93,62.87,1.0,1
6,1,15.101045917783706,Easy,80,0.0,26.374000000000002,71.502,1.0,5
10,7,15.085128459103212,Easy,81,0.0,16.07,64.84,1.0,1
3,1,14.51855041461592,Easy,82,0.0,14.66,65.13624999999999,1.0,8
7,2,14.043675517719013,Easy,83,0.0,6.168,60.63399999999999,1.0,5
9,5,13.992516111808287,Easy,84,0.0,21.52,70.72,1.0,1
10,9,13.689088687641782,Easy,85,0.0,7.21,62.07,1.0,1
9,7,13.614349404815451,Easy,86,0.0,23.66,72.92,1.0,1
9,3,13.524858549676534,Easy,87,0.0,35.545,80.835,1.0,2
4,6,12.755512558879648,Easy,88,0.0,14.191666666666668,68.605,1.0,6
6,7,12.036275395920352,Easy,89,0.0,21.1675,74.67750000000001,1.0,4
6,8,12.029253423539558,Easy,90,0.0,17.997500000000002,72.6325,1.0,4
9,8,11.425746675657535,Easy,91,0.0,15.96,72.6,1.0,1
7,4,11.07098732889836,Easy,92,0.0,9.075,68.88499999999999,1.0,2
7,1,10.157673232852911,Easy,93,0.0,9.368,71.03,1.0,5
6,4,9.027891379040339,Easy,94,0.0,16.307499999999997,77.9575,1.0,4
10,4,8.747209386843886,Easy,95,0.0,5.0,71.21,1.0,1
7,6,7.671714175663341,Easy,96,0.0,9.559999999999999,76.475,1.0,2
9,10,4.354383230260028,Easy,97,0.0,19.34,89.93,1.0,1
