student_id,course_id,chapter_order,time_spent,score,completion_status
1,10,1,14.6,45.29,1
1,10,2,38.79,46.13,1
1,10,3,17.81,51.15,1
1,10,4,36.91,53.56,1
1,10,5,25.31,38.04,1
1,10,6,24.88,57.83,1
1,10,7,51.44,82.84,1
1,10,8,61.43,45.23,1
1,10,9,5.0,49.04,1
2,5,1,29.55,43.91,1
2,5,2,25.03,33.47,1
2,5,3,69.51,63.34,1
2,5,4,78.72,44.66,1
2,5,5,26.09,46.07,1
2,5,6,90.86,28.02,1
2,5,7,84.55,40.65,1
2,5,8,48.51,51.37,1
2,5,9,83.5,53.38,1
2,5,10,23.16,46.09,1
2,5,11,66.57,55.3,1
2,5,12,119.68,24.38,1
2,5,13,13.28,44.22,1
2,5,14,21.99,48.0,1
2,5,15,18.06,38.93,1
3,9,1,9.67,63.21,1
3,9,2,16.98,66.45,1
3,9,3,28.76,56.39,1
3,9,4,20.45,67.2,1
3,9,5,34.62,81.47,1
3,9,6,40.83,87.8,1
3,9,7,10.06,74.19,1
3,9,8,17.28,73.56,1
3,9,9,15.48,88.22,1
3,9,10,7.08,74.49,1
4,4,1,5.0,60.0,1
4,4,2,15.5,60.44,1
4,4,3,44.61,78.78,0
5,5,1,33.21,66.14,1
5,5,2,40.69,44.65,1
5,5,3,19.66,51.77,1
5,5,4,32.94,83.73,1
5,5,5,42.53,53.93,1
5,5,6,45.5,61.82,1
5,5,7,15.91,53.65,1
5,5,8,31.89,62.47,1
5,5,9,82.08,54.86,1
5,5,10,13.75,64.03,1
5,5,11,29.73,57.36,1
5,5,12,61.83,45.39,1
5,5,13,34.73,52.92,1
5,5,14,8.0,41.38,1
5,5,15,8.13,63.78,1
6,10,1,5.0,48.61,1
6,10,2,23.95,72.53,1
6,10,3,5.0,72.82,1
6,10,4,8.7,61.99,1
6,10,5,5.79,67.36,1
6,10,6,6.54,52.51,1
6,10,7,15.94,54.47,1
6,10,8,10.4,48.47,1
6,10,9,10.85,68.48,1
7,4,1,12.21,63.65,1
7,4,2,16.53,50.98,1
7,4,3,25.26,57.94,1
7,4,4,19.22,58.28,1
7,4,5,116.42,59.02,1
7,4,6,26.76,49.71,1
7,4,7,32.66,69.52,1
8,5,1,41.49,78.43,1
8,5,2,92.42,42.19,0
9,2,1,34.52,51.55,1
9,2,2,5.0,48.37,1
9,2,3,5.0,59.0,1
9,2,4,8.4,33.0,1
9,2,5,14.97,50.44,0
10,9,1,5.0,55.96,1
10,9,2,5.0,93.06,1
10,9,3,11.3,79.79,1
10,9,4,12.61,75.32,1
10,9,5,5.76,69.73,1
10,9,6,20.47,91.16,1
10,9,7,5.0,90.01,1
10,9,8,9.07,66.47,1
10,9,9,13.21,73.53,1
10,9,10,15.05,85.45,1
11,7,1,5.0,60.13,1
11,7,2,9.19,65.48,1
11,7,3,30.02,63.09,1
11,7,4,5.0,53.51,1
11,7,5,5.0,80.06,1
11,7,6,19.84,66.39,1
11,7,7,5.0,60.28,1
12,1,1,98.5,29.75,1
12,1,2,112.91,36.47,1
12,1,3,43.84,54.78,1
12,1,4,46.78,50.85,1
12,1,5,39.93,22.65,1
12,1,6,185.83,49.62,1
12,1,7,129.43,21.8,1
12,1,8,290.18,17.39,1
12,1,9,63.0,41.48,1
12,1,10,147.8,27.55,1
12,1,11,210.74,29.04,1
13,1,1,39.65,20.12,1
13,1,2,58.3,16.71,1
13,1,3,33.25,39.5,1
13,1,4,76.33,11.59,1
13,1,5,35.44,42.45,0
14,1,1,20.79,20.05,0
15,2,1,116.86,62.83,1
15,2,2,87.77,68.74,1
15,2,3,6.53,50.38,1
15,2,4,40.63,62.66,1
15,2,5,19.2,66.93,1
15,2,6,60.27,44.5,1
15,2,7,100.72,39.86,1
15,2,8,91.74,55.77,1
15,2,9,50.67,57.12,1
15,2,10,13.5,37.21,1
15,2,11,57.77,34.2,1
15,2,12,10.32,52.17,1
15,2,13,131.45,58.29,1
15,2,14,18.32,61.03,1
15,2,15,41.25,55.56,1
16,8,1,11.83,71.31,1
16,8,2,14.47,61.1,1
16,8,3,12.43,55.49,1
16,8,4,6.0,49.36,1
16,8,5,7.07,36.71,1
16,8,6,15.87,71.4,1
17,8,1,52.53,57.96,1
17,8,2,33.38,22.35,1
17,8,3,9.1,46.36,1
17,8,4,7.26,50.73,1
17,8,5,9.95,34.02,1
17,8,6,35.78,32.96,1
18,3,1,24.84,68.73,1
18,3,2,9.74,76.79,1
18,3,3,21.95,68.29,1
18,3,4,5.0,76.7,1
18,3,5,59.09,93.27,1
18,3,6,11.73,94.58,1
18,3,7,21.29,81.75,1
18,3,8,19.04,74.55,1
18,3,9,18.4,83.7,1
19,3,1,8.61,55.02,1
19,3,2,47.92,57.51,0
20,1,1,15.23,54.31,1
20,1,2,13.36,54.58,1
20,1,3,55.93,47.86,1
20,1,4,7.84,62.5,1
20,1,5,51.71,55.99,1
20,1,6,57.27,61.71,1
20,1,7,43.64,55.61,1
20,1,8,5.78,60.06,1
20,1,9,24.63,63.86,1
20,1,10,29.97,63.54,1
20,1,11,59.2,90.91,1
21,8,1,21.2,67.57,1
21,8,2,20.49,54.64,1
21,8,3,6.45,68.04,1
21,8,4,43.49,73.11,1
21,8,5,7.58,68.0,1
21,8,6,55.45,23.55,1
22,5,1,17.46,39.87,1
22,5,2,120.15,36.09,1
22,5,3,26.81,53.17,1
22,5,4,15.94,63.44,1
22,5,5,12.1,62.2,1
22,5,6,44.7,74.42,1
22,5,7,5.0,44.34,1
22,5,8,36.31,52.31,1
22,5,9,27.92,76.91,1
22,5,10,9.89,55.49,1
22,5,11,13.96,68.73,1
22,5,12,18.16,46.51,1
22,5,13,25.33,76.16,1
22,5,14,19.22,64.1,1
22,5,15,16.05,36.93,1
23,2,1,5.0,54.67,1
23,2,2,11.78,49.99,1
23,2,3,15.85,46.56,1
23,2,4,13.13,53.69,1
23,2,5,14.24,30.22,0
24,10,1,75.63,56.1,1
